512
0.3999779303783535 0.7371842848797618 0.6014048156518976 | 0.0 -0.49800000000000005 0.0
0.39997003818670956 0.7371856404803985 0.661448088005113 | 0.0 -0.49800000000000005 0.0
0.4500006065322593 0.7371858534677408 0.2885313087988777 | 0.0 -0.49800000000000005 0.0
0.4500019671366071 0.7371844928633929 0.34856669810652263 | 0.0 -0.49800000000000005 0.0
0.4500035955184505 0.7371828644815497 0.39994538097953736 | 0.0 -0.49800000000000005 0.0
0.4500032007061099 0.7371832592938902 0.4500032007061099 | 0.0 -0.49800000000000005 0.0
0.45000320070610983 0.7371832592938902 0.4999967992938901 | 0.0 -0.49800000000000005 0.0
0.4500035955184505 0.7371828644815497 0.5500546190204625 | 0.0 -0.49800000000000005 0.0
0.4500019671366072 0.7371844928633929 0.6014333018934774 | 0.0 -0.49800000000000005 0.0
0.4500006065322593 0.7371858534677408 0.6614686912011224 | 0.0 -0.49800000000000005 0.0
0.49999939346774075 0.7371858534677408 0.28853130879887773 | 0.0 -0.49800000000000005 0.0
0.49999803286339284 0.7371844928633929 0.34856669810652263 | 0.0 -0.49800000000000005 0.0
0.4999964044815496 0.7371828644815497 0.39994538097953736 | 0.0 -0.49800000000000005 0.0
0.4999967992938901 0.7371832592938902 0.45000320070610983 | 0.0 -0.49800000000000005 0.0
0.4999967992938901 0.7371832592938902 0.4999967992938901 | 0.0 -0.49800000000000005 0.0
0.4999964044815496 0.7371828644815497 0.5500546190204625 | 0.0 -0.49800000000000005 0.0
0.4999980328633928 0.737184492863393 0.6014333018934775 | 0.0 -0.49800000000000005 0.0
0.49999939346774075 0.7371858534677408 0.6614686912011224 | 0.0 -0.49800000000000005 0.0
0.5500299618132907 0.7371856404803985 0.288551911994887 | 0.0 -0.49800000000000005 0.0
0.550022069621646 0.7371842848797618 0.3485951843481023 | 0.0 -0.49800000000000005 0.0
0.5500378772735194 0.7371825986454761 0.39996212272648046 | 0.0 -0.49800000000000005 0.0
0.5500546190204625 0.7371828644815497 0.4500035955184505 | 0.0 -0.49800000000000005 0.0
0.5500546190204625 0.7371828644815497 0.4999964044815496 | 0.0 -0.49800000000000005 0.0
0.5500378772735194 0.7371825986454761 0.5500378772735194 | 0.0 -0.49800000000000005 0.0
0.550022069621646 0.7371842848797618 0.6014048156518976 | 0.0 -0.49800000000000005 0.0
0.5500299618132907 0.7371856404803985 0.661448088005113 | 0.0 -0.49800000000000005 0.0
0.600797095252727 0.7371861204111705 0.28900032406677995 | 0.0 -0.49800000000000005 0.0
0.6011427391978228 0.7371854577859289 0.3488572608021774 | 0.0 -0.49800000000000005 0.0
0.6014048156518976 0.7371842848797618 0.3999779303783535 | 0.0 -0.49800000000000005 0.0
0.6014333018934774 0.7371844928633929 0.4500019671366072 | 0.0 -0.49800000000000005 0.0
0.6014333018934775 0.737184492863393 0.4999980328633928 | 0.0 -0.49800000000000005 0.0
0.6014048156518976 0.7371842848797618 0.550022069621646 | 0.0 -0.49800000000000005 0.0
0.6011427391978228 0.737185457785929 0.6011427391978228 | 0.0 -0.49800000000000005 0.0
0.600797095252727 0.7371861204111705 0.6609996759332195 | 0.0 -0.49800000000000005 0.0
0.6590567225624947 0.7371864174597687 0.2909432774375053 | 0.0 -0.49800000000000005 0.0
0.6609996759332195 0.7371861204111705 0.349202904747273 | 0.0 -0.49800000000000005 0.0
0.661448088005113 0.7371856404803985 0.39997003818670956 | 0.0 -0.49800000000000005 0.0
0.6614686912011224 0.7371858534677408 0.4500006065322593 | 0.0 -0.49800000000000005 0.0
0.6614686912011224 0.7371858534677408 0.49999939346774075 | 0.0 -0.49800000000000005 0.0
0.661448088005113 0.7371856404803985 0.5500299618132907 | 0.0 -0.49800000000000005 0.0
0.6609996759332195 0.7371861204111705 0.600797095252727 | 0.0 -0.49800000000000005 0.0
0.6590567225624947 0.7371864174597687 0.6590567225624947 | 0.0 -0.49800000000000005 0.0
0.2909432774375053 0.6871865025402315 0.2909432774375053 | 0.0 -0.49800000000000005 0.0
0.28900032406678 0.6871867995888297 0.349202904747273 | 0.0 -0.49800000000000005 0.0
0.2885519119948869 0.6871872795196017 0.39997003818670956 | 0.0 -0.49800000000000005 0.0
0.2885313087988777 0.6871870665322594 0.4500006065322593 | 0.0 -0.49800000000000005 0.0
0.2885313087988777 0.6871870665322594 0.49999939346774075 | 0.0 -0.49800000000000005 0.0
0.2885519119948869 0.6871872795196017 0.5500299618132907 | 0.0 -0.49800000000000005 0.0
0.28900032406677995 0.6871867995888297 0.600797095252727 | 0.0 -0.49800000000000005 0.0
0.2909432774375053 0.6871865025402315 0.6590567225624947 | 0.0 -0.49800000000000005 0.0
0.349202904747273 0.6871867995888297 0.28900032406678 | 0.0 -0.49800000000000005 0.0
0.3488572608021774 0.6871874622140712 0.3488572608021774 | 0.0 -0.49800000000000005 0.0
0.3485951843481023 0.6871886351202383 0.3999779303783535 | 0.0 -0.49800000000000005 0.0
0.3485666981065227 0.6871884271366072 0.4500019671366071 | 0.0 -0.49800000000000005 0.0
0.34856669810652263 0.6871884271366072 0.49999803286339284 | 0.0 -0.49800000000000005 0.0
0.3485951843481023 0.6871886351202383 0.550022069621646 | 0.0 -0.49800000000000005 0.0
0.3488572608021774 0.6871874622140712 0.6011427391978228 | 0.0 -0.49800000000000005 0.0
0.349202904747273 0.6871867995888297 0.6609996759332195 | 0.0 -0.49800000000000005 0.0
0.39997003818670956 0.6871872795196017 0.2885519119948869 | 0.0 -0.49800000000000005 0.0
0.3999779303783535 0.6871886351202383 0.3485951843481023 | 0.0 -0.49800000000000005 0.0
0.39996212272648046 0.6871903213545241 0.39996212272648046 | 0.0 -0.49800000000000005 0.0
0.39994538097953736 0.6871900555184505 0.45000359551845054 | 0.0 -0.49800000000000005 0.0
0.39994538097953736 0.6871900555184505 0.49999640448154953 | 0.0 -0.49800000000000005 0.0
0.39996212272648046 0.6871903213545241 0.5500378772735194 | 0.0 -0.49800000000000005 0.0
0.3999779303783535 0.6871886351202383 0.6014048156518976 | 0.0 -0.49800000000000005 0.0
0.39997003818670956 0.6871872795196017 0.661448088005113 | 0.0 -0.49800000000000005 0.0
0.4500006065322593 0.6871870665322594 0.2885313087988777 | 0.0 -0.49800000000000005 0.0
0.4500019671366071 0.6871884271366072 0.34856669810652263 | 0.0 -0.49800000000000005 0.0
0.45000359551845054 0.6871900555184505 0.39994538097953736 | 0.0 -0.49800000000000005 0.0
